key,title,category_primary,content_format,content_purpose,series_name,classification_method,classification_confidence,matched_rule,classification_reason,signal_sources,manual_override,needs_review,review_reason,analysis_date
n00cdb7ef39e4,✨「ママ応援企画」大好きなママへ❤️子どもからママへ贈る歌🎶,創作・表現,音楽,お題・参加企画,,multi_signal_rule_v2,0.82,歌 / 応援企画,theme:創作・表現←title「歌」 / format:音楽←title「歌」 / purpose:お題・参加企画←title「応援企画」,title,false,false,,2026-09-11
n0290ff85f044,「3/21〜5/7限定」宇宙からの追い風ボーナスタイム！やりたかったこと、全部やるなら今,タロット・占星術,エッセイ,告知,,manual_override_v1,1.0,限定,manual:Phase4監査: 全天体順行の期間を、挑戦を始める好機として解説。 / purpose:告知←title「限定」,"title,manual_override",true,false,,2026-09-11
n0351f743463e,フルタイムxテレワークで叶えた、仕事と趣味の両立生活,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,仕事,manual:Phase4監査: テレワークで通勤負担が減り、仕事と趣味を両立できた体験。 / theme:仕事・暮らし←title「仕事」,"title,manual_override",true,false,,2026-09-11
n06759fa6d1d3,✨【PolloAIxしろねんコンテスト】動画完成しました〜💖,AI,動画,お題・参加企画,,multi_signal_rule_v2,0.82,PolloAI / 動画 / コンテスト,theme:AI←title「PolloAI」 / format:動画←title「動画」 / purpose:お題・参加企画←title「コンテスト」,title,false,false,,2026-09-11
n07e979554cab,✨KITA沼にハマって！note運営が変わったAIツール活用術🧰,AI,エッセイ,通常記事,,multi_signal_rule_v2,0.82,KITA沼,theme:AI←title「KITA沼」,title,false,false,,2026-09-11
n0a2027cdc701,〜お知らせ〜,note運営・交流,エッセイ,告知,,manual_override_v1,1.0,お知らせ,manual:Phase4監査: オンラインマルシェ登壇の告知。 / purpose:告知←title「お知らせ」,"title,manual_override",true,false,,2026-09-11
n0d28286978aa,✨ハッピーライティングマラソン＃56｜ちょっと勇気がいるけど、発信したいことは何ですか？✨,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: ハッピーライティングマラソンの問いへの回答・振り返り。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n0de537d1a997,📕境界の図書館｜心のトランジットラウンジ #01🌙誰かと比べて焦った夜⭐️私が引いた一枚✨,創作・表現,物語,通常記事,境界の図書館,multi_signal_rule_v2,0.82,境界の図書館,theme:創作・表現←title「境界の図書館」 / format:物語←title「境界の図書館」 / series:境界の図書館←title「境界の図書館」,title,false,false,,2026-09-11
n0e1c5fa5bd57,ぼーっとする時間を、スマホに預けてしまった話,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,スマホ,manual:Phase4監査: 通勤中のスマホ習慣と、ぼんやり考える余白についての内省。 / theme:仕事・暮らし←title「スマホ」,"title,manual_override",true,false,,2026-09-11
n0e956f9b8613,🌱 スキのタネ研究所だよりVol.006,研究,研究レポート,通常記事,スキのタネ研究所,multi_signal_rule_v2,0.82,スキのタネ研究所 / 研究所だより,theme:研究←title「スキのタネ研究所」 / format:研究レポート←title「研究所だより」 / series:スキのタネ研究所←title「スキのタネ研究所」,title,false,false,,2026-09-11
n0fbf29465503,🌉夜に輪郭が現れる🎵｜静かな夜ほど、自分の声がよく聞こえる🎶,創作・表現,音楽,通常記事,,manual_override_v1,1.0,🎵,manual:Phase4監査: 楽曲の公開・制作背景を扱う音楽作品。 / theme:創作・表現←title「🎵」 / format:音楽←title「🎵」,"title,manual_override",true,false,,2026-09-11
n10e167fcc0aa,不思議⁉️家に出る2センチの蛾が、なぜか巨大化して見える😳,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,家,manual:Phase4監査: 家の中の小さな蛾を大きく感じる心理と日常の気づき。 / theme:仕事・暮らし←title「家」,"title,manual_override",true,false,,2026-09-11
n1241fc2881c7,🖼️ゴッホは暗い人だと思っていた。でも私が見たのは光だった✨⭐️,アート・文化,エッセイ,通常記事,,multi_signal_rule_v2,0.82,ゴッホ,theme:アート・文化←title「ゴッホ」,title,false,false,,2026-09-11
n1394cc7021b6,マガジン追加・記事紹介・スキ・フォロー・コメントありがとうございます❤️,note運営・交流,エッセイ,活動報告,マガジン感謝報告,multi_signal_rule_v2,0.82,マガジン / マガジン追加,theme:note運営・交流←title「マガジン」 / purpose:活動報告←title「マガジン追加」 / series:マガジン感謝報告←title「マガジン追加」,title,false,false,,2026-09-11
n144ef9f988f2,🌸ママ応援企画🌸「みんなの想いをお届け」✨,note運営・交流,エッセイ,お題・参加企画,,manual_override_v1,1.0,ママ / 応援企画,manual:Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。 / theme:家族・人間関係←title「ママ」 / purpose:お題・参加企画←title「応援企画」,"title,manual_override",true,false,,2026-09-11
n14eb89ee7292,🌟自己紹介のつづき①｜「私には何もない」は思い込みだった〜私の原点〜,暮らし・人生,エッセイ,通常記事,自己紹介のつづき,multi_signal_rule_v2,0.82,自己紹介 / 自己紹介のつづき,theme:暮らし・人生←title「自己紹介」 / series:自己紹介のつづき←title「自己紹介のつづき」,title,false,false,,2026-09-11
n15c6d477fa18,🔬「なんで？」の前に、“あれ？”がいた。｜NRT CASE-002 緑どんぐりさん🌱,研究,研究レポート,通常記事,,manual_override_v1,1.0,NRT,manual:Phase4監査: NRT CASE-002として、問いが生まれる前の違和感を観察。 / theme:研究←title「NRT」 / format:研究レポート←title「NRT」,"title,manual_override",true,false,,2026-09-11
n19e4efa9007f,🌟自己紹介のつづき⑤｜45歳から人生は再編集できる🌸花とAIとタロットが私の未来を動かした,AI,エッセイ,通常記事,自己紹介のつづき,multi_signal_rule_v2,0.82,AI / 自己紹介のつづき,theme:AI←title「AI」 / series:自己紹介のつづき←title「自己紹介のつづき」,title,false,false,,2026-09-11
n1d3911e7bb58,マガジンフォロー・マガジン追加・コメント・スキ・フォローありがとうございます❤️,note運営・交流,エッセイ,活動報告,マガジン感謝報告,multi_signal_rule_v2,0.82,マガジン / マガジン追加,theme:note運営・交流←title「マガジン」 / purpose:活動報告←title「マガジン追加」 / series:マガジン感謝報告←title「マガジン追加」,title,false,false,,2026-09-11
n1df9439557ed,✨私にとっての「自由」とは🍀,暮らし・人生,エッセイ,通常記事,,multi_signal_rule_v2,0.82,自由,theme:暮らし・人生←title「自由」,title,false,false,,2026-09-11
n1e01b806de34,✨「どちらともいえない」ばかり選んでいた私が、MBTI診断で気づいたこと🫢,暮らし・人生,解説・紹介,通常記事,,multi_signal_rule_v2,0.82,気づ / 診断,theme:暮らし・人生←title「気づ」 / format:解説・紹介←title「診断」,title,false,false,,2026-09-11
n1fd5e88ac099,🌟マガジン追加・記事紹介・スキ・フォロー・コメントありがとうございます🌟,note運営・交流,エッセイ,活動報告,マガジン感謝報告,multi_signal_rule_v2,0.82,マガジン / マガジン追加,theme:note運営・交流←title「マガジン」 / purpose:活動報告←title「マガジン追加」 / series:マガジン感謝報告←title「マガジン追加」,title,false,false,,2026-09-11
n1fe88a777f62,✨ハッピーライティングマラソンお題#65｜批判されるのが怖くて、やめていることはありますか？,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: ハッピーライティングマラソンの問いへの回答・振り返り。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n20244d4817db,🎉ハッピーライティングマラソンをやって、一番楽しかった思い出🌟,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,思い出 / ハッピーライティングマラソン,manual:Phase4監査: ハッピーライティングマラソンの問いへの回答・振り返り。 / theme:暮らし・人生←title「思い出」 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n2106093e3b3b,❤️マガジン追加・スキ・フォロー・記事紹介・コメントありがとうございます❤️,note運営・交流,エッセイ,活動報告,マガジン感謝報告,multi_signal_rule_v2,0.82,マガジン / マガジン追加,theme:note運営・交流←title「マガジン」 / purpose:活動報告←title「マガジン追加」 / series:マガジン感謝報告←title「マガジン追加」,title,false,false,,2026-09-11
n213c280c308d,🌟自己紹介のつづき④｜飛行機✈️で息ができなくなった日😣うつ病と向き合い病院🏥を卒業するまで,暮らし・人生,エッセイ,通常記事,自己紹介のつづき,multi_signal_rule_v2,0.82,自己紹介 / 自己紹介のつづき,theme:暮らし・人生←title「自己紹介」 / series:自己紹介のつづき←title「自己紹介のつづき」,title,false,false,,2026-09-11
n21f79bef138e,あなたの夏の思い出✨対馬と山梨の夏休み🌻自然がくれた豊かな記憶✨,旅行・おでかけ,エッセイ,通常記事,,manual_override_v1,1.0,対馬,manual:Phase4監査: 対馬と山梨で過ごした夏休みと自然の記憶。 / theme:旅行・おでかけ←title「対馬」,"title,manual_override",true,false,,2026-09-11
n223d7187c880,🌱 スキのタネ研究所だよりVol.002,研究,研究レポート,通常記事,スキのタネ研究所,multi_signal_rule_v2,0.82,スキのタネ研究所 / 研究所だより,theme:研究←title「スキのタネ研究所」 / format:研究レポート←title「研究所だより」 / series:スキのタネ研究所←title「スキのタネ研究所」,title,false,false,,2026-09-11
n231bcb5278cf,✨🌕いつもありがとうございます❤️マガジン登録・記事紹介・スキ・フォロー・コメント✨,note運営・交流,エッセイ,活動報告,マガジン感謝報告,multi_signal_rule_v2,0.82,マガジン / マガジン登録,theme:note運営・交流←title「マガジン」 / purpose:活動報告←title「マガジン登録」 / series:マガジン感謝報告←title「マガジン登録」,title,false,false,,2026-09-11
n257719cea428,🌟自己紹介のつづき②｜「不器用だね」を何十年も信じていた私へ。子どもの頃のラベルは大人になって外せる,家族・人間関係,エッセイ,通常記事,自己紹介のつづき,multi_signal_rule_v2,0.82,子ども / 自己紹介のつづき,theme:家族・人間関係←title「子ども」 / series:自己紹介のつづき←title「自己紹介のつづき」,title,false,false,,2026-09-11
n25f06764eb4a,✨ カケルンって何者？私を一段先へ連れていく言葉の力 ✨,暮らし・人生,エッセイ,通常記事,,multi_signal_rule_v2,0.82,私,theme:暮らし・人生←title「私」,title,false,false,,2026-09-11
n2797cf9874ab,朝まで寝れる夜は、それだけで少し幸せだ,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,朝,manual:Phase4監査: 眠れる夜を小さな幸せとして綴る日常文。 / theme:仕事・暮らし←title「朝」,"title,manual_override",true,false,,2026-09-11
n2da5ecdf2004,✨ハッピーライティングマラソン過去お題チャレンジ|＃１１〜２０✨,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: 過去のライティング企画のお題をまとめて回答。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n2e6dbf5a4530,✨スキを叫ぶぞ〜,note運営・交流,エッセイ,活動報告,,manual_override_v1,1.0,受賞,manual:Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。 / purpose:活動報告←body「受賞」,"body,manual_override",true,false,,2026-09-11
n2ea3f4dcb730,✨マガジン登録・記事紹介・スキ・フォロー・コメントありがとうございます✨,note運営・交流,エッセイ,活動報告,マガジン感謝報告,multi_signal_rule_v2,0.82,マガジン / マガジン登録,theme:note運営・交流←title「マガジン」 / purpose:活動報告←title「マガジン登録」 / series:マガジン感謝報告←title「マガジン登録」,title,false,false,,2026-09-11
n2f60a2176183,✨ハッピーライティングマラソン＃５７｜マツダミヒロさんからのお題「この1年で、あなたが受け取った一番の贈り物は何ですか？」✨,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: ハッピーライティングマラソンの問いへの回答・振り返り。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n307f36568762,今日も読みに行きたくなる✨noteの先輩ふたりへ❤️,家族・人間関係,エッセイ,通常記事,,multi_signal_rule_v2,0.82,先輩,theme:家族・人間関係←title「先輩」,title,false,false,,2026-09-11
n326c36b646b9,結構毛だらけ、猫灰だらけ🐈,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,,manual:Phase4監査: エッセイしりとりを起点に、言葉遊びと記憶を考察。,manual_override,true,false,,2026-09-11
n35c7d2df5d52,ハッピーライティングマラソン#44　本田健のオススメ作品追加に選んで頂きました❤️,note運営・交流,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n36b317d5b28c,📖 時を超える光の約束 🌟 第2話,創作・表現,物語,通常記事,時を超える光の約束,manual_override_v1,1.0,第2話 / 時を超える光の約束,manual:Phase4監査: 連載物語『時を超える光の約束』の第2話。 / theme:創作・表現←title「第2話」 / format:物語←title「第2話」 / series:時を超える光の約束←title「時を超える光の約束」,"title,manual_override",true,false,,2026-09-11
n37180fe24b18,🌱はじめての方へ🌱｜このnoteの歩き方✨※6/9,note運営・交流,解説・紹介,通常記事,,manual_override_v1,1.0,このnote,manual:Phase4監査: 初めて来た読者向けに、このnoteの内容と読み方を案内。 / theme:note運営・交流←title「このnote」,"title,manual_override",true,false,,2026-09-11
n375a7f2a512f,ハッピーライティングマラソン#46|「最近、ワクワクしたことは何ですか？」,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ワクワク / ハッピーライティングマラソン,manual:Phase4監査: ハッピーライティングマラソンの問いへの回答・振り返り。 / theme:暮らし・人生←title「ワクワク」 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n37b3042e2b70,✨マガジン登録・記事紹介・スキ・フォロー・コメントありがとうございます❤️,note運営・交流,エッセイ,活動報告,マガジン感謝報告,multi_signal_rule_v2,0.82,マガジン / マガジン登録,theme:note運営・交流←title「マガジン」 / purpose:活動報告←title「マガジン登録」 / series:マガジン感謝報告←title「マガジン登録」,title,false,false,,2026-09-11
n392180cec50e,🌻第2回スキ動画コンテスト「夏の陣」｜何でそんなものまで？スキ動画✨,note運営・交流,動画,お題・参加企画,,manual_override_v1,1.0,動画 / コンテスト,manual:Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。 / format:動画←title「動画」 / purpose:お題・参加企画←title「コンテスト」,"title,manual_override",true,false,,2026-09-11
n3bab65c48734,💖ハッピーライティングマラソン#51｜「あなたを色で表すと何色ですか？その理由は？」💫,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,manual_override_v1,1.0,ハッピーライティングマラソン,manual:Phase4監査: ハッピーライティングマラソンの問いへの回答・振り返り。 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,"title,manual_override",true,false,,2026-09-11
n3c7722967533,ハッピーライティングマラソン#54|もし1週間だけ別の人生を体験できるなら、誰になりたい？,暮らし・人生,エッセイ,お題・参加企画,ハッピーライティングマラソン,multi_signal_rule_v2,0.82,人生 / ハッピーライティングマラソン,theme:暮らし・人生←title「人生」 / purpose:お題・参加企画←title「ハッピーライティングマラソン」 / series:ハッピーライティングマラソン←title「ハッピーライティングマラソン」,title,false,false,,2026-09-11
n3d78bf798ea8,✨noteでの出会いに感謝！創作大賞完走と新曲『いつもそばに』✨,note運営・交流,音楽,活動報告,,manual_override_v1,1.0,新曲 / 完走,manual:Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。 / theme:創作・表現←title「新曲」 / format:音楽←title「新曲」 / purpose:活動報告←title「完走」,"title,manual_override",true,false,,2026-09-11
n3f0d8e2c1cf4,🌟本田健さんのオススメ作品に選ばれました〜🌟,note運営・交流,エッセイ,活動報告,,manual_override_v1,1.0,選ばれ,manual:Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。 / purpose:活動報告←title「選ばれ」,"title,manual_override",true,false,,2026-09-11
n44a4759d8cb4,📱スマホがなかったあの頃の思い出と今のつながり方✨,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,スマホ,manual:Phase4監査: スマホ以前の思い出と、現在のつながり方を振り返る。 / theme:仕事・暮らし←title「スマホ」,"title,manual_override",true,false,,2026-09-11
n4731c7b9e83c,やりたいこと渋滞発生中！,暮らし・人生,エッセイ,通常記事,,manual_override_v1,1.0,,manual:Phase4監査: 休日にやりたい趣味や作業が重なる日常と自己受容。,manual_override,true,false,,2026-09-11
n4869962751c1,魚座の新月に贈る,タロット・占星術,エッセイ,通常記事,,manual_override_v1,1.0,新月,manual:Phase4監査: 天体、新月、タロットを起点にした解釈と行動のヒント。 / theme:タロット・占星術←title「新月」,"title,manual_override",true,false,,2026-09-11
n4b7cfac7f866,放置された庭で。。。ちゃんと水仙咲きました！,花・自然,写真,通常記事,,manual_override_v1,1.0,水仙 / 写真,manual:Phase4監査: 花・植物・空・昆虫などの観察、写真、作品を扱う記事。 / theme:花・自然←title「水仙」 / format:写真←body「写真」,"title,body,manual_override",true,false,,2026-09-11
