key,title,expected_axis,expected_value,actual_value,match,status,notes,analysis_date
n0a2027cdc701,〜お知らせ〜,category_primary,note運営・交流,note運営・交流,true,pass,Phase4監査: オンラインマルシェ登壇の告知。,2026-09-12
n144ef9f988f2,🌸ママ応援企画🌸「みんなの想いをお届け」✨,category_primary,note運営・交流,note運営・交流,true,pass,Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。,2026-09-12
n2e6dbf5a4530,✨スキを叫ぶぞ〜,category_primary,note運営・交流,note運営・交流,true,pass,Phase4監査: 企画告知、受賞・節目の報告、note上の交流や感謝。,2026-09-12
n0290ff85f044,「3/21〜5/7限定」宇宙からの追い風ボーナスタイム！やりたかったこと、全部やるなら今,category_primary,タロット・占星術,タロット・占星術,true,pass,Phase4監査: 全天体順行の期間を、挑戦を始める好機として解説。,2026-09-12
n4869962751c1,魚座の新月に贈る,category_primary,タロット・占星術,タロット・占星術,true,pass,Phase4監査: 天体、新月、タロットを起点にした解釈と行動のヒント。,2026-09-12
n883747279652,✨未来が不安なあなたへ❤️タロットは「自分を知る」ための鏡だった✨,category_primary,タロット・占星術,タロット・占星術,true,pass,Phase4監査: 天体、新月、タロットを起点にした解釈と行動のヒント。,2026-09-12
n0fbf29465503,🌉夜に輪郭が現れる🎵｜静かな夜ほど、自分の声がよく聞こえる🎶,category_primary,創作・表現,創作・表現,true,pass,Phase4監査: 楽曲の公開・制作背景を扱う音楽作品。,2026-09-12
n36b317d5b28c,📖 時を超える光の約束 🌟 第2話,category_primary,創作・表現,創作・表現,true,pass,Phase4監査: 連載物語『時を超える光の約束』の第2話。,2026-09-12
n572ff39fdea7,🎵初夏のきらめき🎵夏の思い出から作った曲、さわりだけでもどうぞ〜💖,category_primary,創作・表現,創作・表現,true,pass,Phase4監査: 楽曲の公開・制作背景を扱う音楽作品。,2026-09-12
n21f79bef138e,あなたの夏の思い出✨対馬と山梨の夏休み🌻自然がくれた豊かな記憶✨,category_primary,旅行・おでかけ,旅行・おでかけ,true,pass,Phase4監査: 対馬と山梨で過ごした夏休みと自然の記憶。,2026-09-12
n83325f5b33aa,雨上がりのご褒美！気のおけない友達と過ごす成田山の春🌸,category_primary,旅行・おでかけ,旅行・おでかけ,true,pass,Phase4監査: 友人と成田山で過ごした春の外出記。,2026-09-12
na49a6c116843,🎆 花火より大切な時間2026年✨東京の夏に感じたこと,category_primary,旅行・おでかけ,旅行・おでかけ,true,pass,Phase4監査: 東京の花火と、そこで過ごした時間を振り返る外出記。,2026-09-12
n15c6d477fa18,🔬「なんで？」の前に、“あれ？”がいた。｜NRT CASE-002 緑どんぐりさん🌱,category_primary,研究,研究,true,pass,Phase4監査: NRT CASE-002として、問いが生まれる前の違和感を観察。,2026-09-12
na16ae9e45de5,「初期記事発掘レイド」発掘隊から作ってみた｜note Research Team、始動します⁉️今から⁉️,category_primary,研究,研究,true,pass,Phase4監査: NRTの初期記事発掘・事例観察として対象記事を分析。,2026-09-12
nefa19e261f58,【初期記事発掘】緑どんぐりさん🪏｜「どうなる？」から「なんで？」へ,category_primary,研究,研究,true,pass,Phase4監査: NRTの初期記事発掘・事例観察として対象記事を分析。,2026-09-12
n4b7cfac7f866,放置された庭で。。。ちゃんと水仙咲きました！,category_primary,花・自然,花・自然,true,pass,Phase4監査: 花・植物・空・昆虫などの観察、写真、作品を扱う記事。,2026-09-12
n6471fe125705,コンクリートの隙間から咲く花と、わたしたちの中に眠る”タネ”の話,category_primary,花・自然,花・自然,true,pass,Phase4監査: 花・植物・空・昆虫などの観察、写真、作品を扱う記事。,2026-09-12
n6660eef00c42,赤い花がかわいいなと思ったら、「デイゴ」って書いてあった話🌺,category_primary,花・自然,花・自然,true,pass,Phase4監査: 花・植物・空・昆虫などの観察、写真、作品を扱う記事。,2026-09-12
nfd22b155449d,素敵な一日を,category_primary,要確認,要確認,true,pass,Phase4監査: 公開本文を確認できず、題名だけでは主題を特定できない。,2026-09-12
n0351f743463e,フルタイムxテレワークで叶えた、仕事と趣味の両立生活,content_format,エッセイ,エッセイ,true,pass,Phase4監査: テレワークで通勤負担が減り、仕事と趣味を両立できた体験。,2026-09-12
n0e1c5fa5bd57,ぼーっとする時間を、スマホに預けてしまった話,content_format,エッセイ,エッセイ,true,pass,Phase4監査: 通勤中のスマホ習慣と、ぼんやり考える余白についての内省。,2026-09-12
n10e167fcc0aa,不思議⁉️家に出る2センチの蛾が、なぜか巨大化して見える😳,content_format,エッセイ,エッセイ,true,pass,Phase4監査: 家の中の小さな蛾を大きく感じる心理と日常の気づき。,2026-09-12
